number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
6533;поэзия;Ломоносов М.В.;Премудрость. Из оды на 1764;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6534;поэзия;Ломоносов М.В.;Слово похвальное Петру I;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6535;поэзия;Ломоносов М.В.;Случились вместе два астронома;Движение земли ;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
6536;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1830;Островский;3 кл.;Уездные училища;Вильно;;Островский__1830
6537;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1846;Пенинский;Нижние классы гимназии;Уездные училища, гимназии;СПб;;Пенинский__1846
6538;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
6539;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
6540;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1820;Греч УчКнига;;;СПб;;Греч УчКнига__1820
6541;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6542;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6543;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
6544;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
6545;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6546;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6547;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
6548;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6549;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1872;Полевой Ч3 старш;;Гимназии;СПб;;Полевой Ч3 старш__1872
6550;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1891;Баталин Изборник;;СУЗ;Москва;;Баталин Изборник__1891
6551;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1897;Дмитриев Для Наизусть;;Гимназии, реальные училища;Казань;;Дмитриев Для Наизусть__1897
6552;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1899;Вессель Пантеон;;;СПб;;Вессель Пантеон__1899
6553;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6554;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6555;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6556;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1903;Сальников Хрест по РЛ;6 кл.;Гимназии МНП;СПб;;Сальников Хрест по РЛ__1903
6557;поэзия;Ломоносов М.В.;Утреннее размышление о Божием величестве;;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
6558;поэзия;Ломоносов М.В.;Экспромт Жукову;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6559;проза;Львов В.;Крестьянская жизнь;;Знаете ли вы, как проводят мужи..;;1849;Студитский Хрест;Младшие классы;;СПб;;Студитский Хрест__1849
6560;поэзия;Львов Ф.;К Пеночке;;;;1805;Глинка Г;;Уездные училища, гимназии;Митава;;Глинка Г__1805
6561;поэзия;Львов Ф.;К реке Талажне;;;;1805;Глинка Г;;Уездные училища, гимназии;Митава;;Глинка Г__1805
6562;поэзия;Майков А.Н.;Ангел и демон;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6563;поэзия;Майков А.Н.;Ангел и демон;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6564;поэзия;Майков А.Н.;Болото;;;;1881;Реймерс;;Гимназии, Училища;Рига;;Реймерс__1881
6565;поэзия;Майков А.Н.;В Городце в 1263;;;;1905;Козьмин I Курс 21-е изд.;;СУЗ;Москва;;Козьмин I Курс 21-е изд.__1905
6566;поэзия;Майков А.Н.;В кремле;;Вхожу ли в старый кремль;И высилась Москва!;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
6567;поэзия;Майков А.Н.;В лесу;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
6568;поэзия;Майков А.Н.;В лесу;;;;1904;Шафров Хрест 1 часть;Третий отдел;Городские училища;Москва;;Шафров Хрест 1 часть__1904
6569;поэзия;Майков А.Н.;В лесу;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
6570;поэзия;Майков А.Н.;Вербная неделя;;Что это сделалось с городом нашим;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
6571;поэзия;Майков А.Н.;Весна;;Весна! Выставляется первая рама;сыплет цветами весна;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
6572;поэзия;Майков А.Н.;Весна;;Весна! Выставляется первая рама;;1880;Павлов Хрест;;Городские, уездные училища;Москва;;Павлов Хрест__1880
6573;поэзия;Майков А.Н.;Весна;;Весна! Выставляется первая рама;сыплет цветами весна;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
6574;поэзия;Майков А.Н.;Весна;Прощальная песня зиме;Уходи, зима седая;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
