;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
235;Романов П.;Легкая работа;Возрождение;Париж;газета;№1170;15.08.1928;проза;полный текст;;3;Красная новь;07.1928
236;Бабель И.Э.;Мопассан — ее страсть;Возрождение;Париж;газета;№2632;16.08.1932;проза;полный текст;;4—5;30 дней;1932
237;Шолохов М.А.;Поднятая целина;Возрождение;Париж;газета;№2702;25.10.1932;проза;полный текст;;4—5;Новый мир;1932
238;Зощенко М.М.;Юмористический рассказ;Возрождение;Париж;газета;№2725;17.11.1932;проза;полный текст;;2;Вечерняя Москва;1932
239;Ильф И. И Петров Е.;Веселящая единица;Возрождение;Париж;газета;№2735;27.11.1932;проза;полный текст;;5;Правда;12.11.1932
240;Зощенко М.М.;Беспокойный старичок;Возрождение;Париж;газета;№2801;01.02.1933;проза;полный текст;;3;Крокодил;01.1933
241;Зощенко М.М.;Страдания молодого Вертера;Возрождение;Париж;газета;№2815;15.02.1933;проза;полный текст;;3;Крокодил;01.1933
242;Зощенко М.М.;Единодушие;Возрождение;Париж;газета;№2816;16.02.1933;проза;полный текст;;5;Вечерняя Москва;10.02.1933
243;Федин К.А.;Похищение Европы;Возрождение;Париж;газета;№2819;19.02.1933;проза;отрывок;Ганза;4;Красная газета;13.02.1933
244;Ильф И. И Петров Е.;Кандидаты ;Возрождение;Париж;газета;№2923;23.02.1933;проза;полный текст;;3—4;Огонек;10.02.1933
245;Ильф И. И Петров Е.;Необыкновенные страдания директора завода;Возрождение;Париж;газета;№2859;31.03.1933;проза;полный текст;;5;Правда;26.03.1933
246;Шолохов М.А.;Тихий Дон;Возрождение;Париж;газета;№2885;26.04.1933;проза;отрывок;восстание;3;Красная газета;21.04.1933
247;Ильф И. И Петров Е.;Техника на грани фантастики;Возрождение;Париж;газета;№2944;24.06.1933;проза;полный текст;;5;Крокодил;06.1933
248;Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2952;02.07.1933;проза;отрывок;;4;Красная новь;03.1933
249;Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2953;03.07.1933;проза;отрывок;;3;Красная новь;03.1933
250;Зощенко М.М.;Морока;Возрождение;Париж;газета;№3129;26.12.1933;проза;полный текст;;3;Крокодил;12.1933
251;Зощенко М.М.;Счастливый путь;Возрождение;Париж;газета;№3132;29.12.1933;проза;полный текст;;5;Огонек;20.12.1933
252;Романов П.;Для удобства публики ;Возрождение;Париж;газета;№3139;05.01.1934;проза;полный текст;;5;Крокодил;121933
253;Катаев В.;В одной комнате;Возрождение;Париж;газета;№3142;08.01.1934;проза;полный текст;;3;Огонек;20.12.1933
254;Романов П.;Кукла;Возрождение;Париж;газета;№3164;30.01.1934;проза;полный текст;;4;Крокодил;01.1934
255;Зощенко М.М.;Подарок;Возрождение;Париж;газета;№3184;20.02.1934;проза;полный текст;;4;Крокодил;01.1934
256;Ильф И. И Петров Е.;Директивный бантик;Возрождение;Париж;газета;№3216;24.03.1934;проза;полный текст;;4;Правда;19.03.1934
257;Зощенко М.М.;Анна на шее;Возрождение;Париж;газета;№3226;03.04.1934;проза;полный текст;;4;Крокодил;03.1934
258;Ильф И. И Петров Е.;Любимый трамвай;Возрождение;Париж;газета;№3235;12.04.1934;проза;полный текст;;2;Правда;07.04.1934
259;Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3290;06.06.1934;проза;отрывок;;3;Красная новь;02.1934
260;Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3292;08.06.1934;проза;отрывок;;3;Красная новь;март.1934
261;Зощенко М.М.;Неприятная история;Возрождение;Париж;газета;№3300;16.06.1934;проза;полный текст;;4;Известия ;12.06.1934
